Occupation	Number	MOE	Number	MOE	Number	MOE	Number	MOE	Number	MOE	Number	MOE	Number	MOE	Number	MOE	Number	MOE	Number	MOE	Number	MOE	Number	MOE	Number	MOE	Number	MOE	Number	MOE
Computer workers	662,310	14,137	417,045	9,986	73,795	4,017	48,105	3,465	27,780	2,943	84,455	4,898	8,955	1,721	71,790	4,178	302,305	8,363	20,515	2,164	29,620	2,670	48,255	3,159	41,475	3,269	41,995	2,767	24,700	2,660
Engineers	54,910	3,272	966,585	16,509	59,500	3,650	30,770	2,874	5,485	995	22,985	1,952	1,215	451	68,415	3,462	68,105	4,068	9,980	1,428	4,025	876	11,835	1,573	10,465	1,640	8,775	1,688	18,800	2,253
Mathematicians and statisticians	22,485	2,153	8,230	1,170	2,625	739	3,880	1,049	2,595	768	9,520	1,509	455	236	1,820	549	15,505	1,967	1,725	862	880	341	3,985	1,040	930	414	1,510	607	2,325	663
Life scientists	5,845	1,199	13,445	1,640	23,890	2,740	90,985	4,226	4,325	977	5,235	999	315	213	7,870	1,255	5,430	1,181	1,030	374	1,510	465	1,595	469	1,190	406	595	350	2,910	822
Physical scientists	7,000	1,154	28,460	2,363	89,475	4,041	57,450	3,545	2,960	811	5,780	1,071	415	284	6,435	1,166	7,800	1,392	2,360	1,010	1,575	521	3,275	823	1,340	567	1,030	445	2,225	693
Social scientists	2,125	735	2,490	606	1,650	673	4,285	892	31,280	2,399	19,585	2,333	595	312	3,095	645	4,990	924	2,620	932	2,370	676	6,340	1,051	1,335	420	1,745	864	3,590	905
Architects	3,780	884	6,830	1,454	1,090	486	3,205	898	700	363	3,420	887	130	154	72,965	3,857	2,050	550	350	228	770	406	2,680	1,192	3,870	763	930	434	795	403
Health care	20,270	2,575	44,360	3,429	128,495	5,849	447,640	10,355	56,895	3,502	34,720	2,953	7,295	1,236	353,570	9,525	61,375	3,916	23,525	2,503	21,050	1,795	33,040	2,982	12,885	1,631	10,115	1,711	36,500	3,144
Managers (non-STEM)2	154,220	5,732	532,375	9,771	125,205	6,081	237,200	7,675	101,385	4,621	357,115	8,566	13,695	1,752	165,530	6,299	1,295,755	15,712	168,280	5,580	90,485	4,775	172,890	6,180	87,125	4,855	140,055	6,803	169,115	7,241
Business and financial	76,460	4,081	137,290	5,778	41,875	3,531	77,905	4,105	45,200	3,641	220,435	7,071	7,220	1,073	40,485	3,352	1,030,030	18,544	39,310	3,132	35,570	2,609	77,135	4,193	30,550	2,918	61,860	3,746	55,230	3,561
Social services	8,175	1,578	13,070	1,782	7,520	1,338	12,735	1,649	70,965	4,100	55,550	3,744	4,510	1,153	12,860	1,492	51,815	3,476	40,360	3,332	17,020	1,990	134,560	5,331	12,270	1,508	17,405	1,966	61,820	3,938
Legal	9,870	1,295	31,130	2,799	11,975	1,753	22,655	2,277	26,740	2,257	216,595	6,319	4,180	980	6,745	1,308	112,855	5,249	9,010	1,307	46,480	3,223	99,590	4,300	8,145	1,472	21,195	2,050	32,460	2,959
Education	89,595	4,196	88,525	4,727	83,070	4,848	122,800	4,451	54,015	3,416	119,875	5,908	7,400	1,088	69,255	4,104	130,965	5,943	481,575	11,127	106,330	5,371	150,540	5,836	92,805	4,402	45,620	3,175	61,115	3,966
Arts and entertainment	18,890	2,416	43,000	3,114	12,320	1,901	14,335	1,415	13,620	2,043	48,730	3,447	4,040	1,039	29,145	2,843	60,720	4,050	26,355	2,418	48,425	3,475	44,040	3,968	186,870	6,977	128,370	5,597	18,270	2,197
Service	34,390	3,536	58,960	3,688	30,840	3,171	90,855	4,608	47,730	3,709	122,825	5,543	8,430	1,549	57,130	3,111	247,555	8,415	68,060	4,417	32,840	2,556	80,885	4,264	50,775	3,622	46,275	3,621	261,245	7,358
Sales	73,110	4,427	158,405	6,632	52,560	3,951	113,065	5,603	61,005	3,947	230,265	7,686	7,310	1,379	69,475	4,261	991,655	16,638	78,525	4,095	52,460	3,529	121,220	5,170	61,670	5,003	125,840	5,923	82,415	4,569
Office support	55,225	4,135	70,590	4,191	28,415	3,142	44,305	2,833	35,215	3,045	103,285	4,758	4,805	994	36,245	2,992	359,130	9,664	42,330	3,081	37,105	3,123	70,365	3,773	42,675	3,596	57,150	4,490	65,035	4,072
Agriculture	640	305	2,725	790	1,230	520	14,600	1,836	665	400	1,875	700	150	180	1,550	574	5,385	1,225	1,715	472	500	287	1,580	572	670	418	710	326	1,225	396
Construction	40,175	3,429	119,335	4,803	21,020	2,419	41,345	2,849	14,550	1,957	40,005	2,859	1,345	483	46,045	3,231	152,470	6,314	36,175	2,721	12,860	1,642	33,640	2,621	27,270	2,656	21,475	2,419	58,085	3,920
Production	40,725	3,361	124,550	6,290	36,535	3,327	61,360	2,979	19,875	2,582	59,995	3,747	3,345	813	46,960	3,085	216,385	6,050	50,805	3,277	18,510	2,276	54,970	3,147	37,675	2,411	32,020	2,520	89,870	5,026
