Occupation	Number	MOE	Number	MOE	Number	MOE	Number	MOE	Number	MOE	Number	MOE	Number	MOE	Number	MOE	Number	MOE	Number	MOE	Number	MOE	Number	MOE	Number	MOE	Number	MOE	Number	MOE
Computer workers	179,530	6,667	71,525	5,023	20,060	2,009	22,775	2,267	22,775	2,369	37,845	2,769	4,715	1,459	33,010	2,961	143,735	5,956	22,460	2,654	26,740	2,382	15,715	1,781	21,395	2,413	26,025	2,712	13,140	1,603
Engineers	13,095	1,696	129,315	5,078	13,420	1,713	10,660	1,352	3,045	923	4,975	912	920	366	12,035	1,553	14,735	2,000	3,665	992	2,345	668	1,705	552	4,895	886	2,060	618	3,335	879
Mathematicians and statisticians	12,200	1,540	1,805	589	2,005	597	3,655	712	3,625	920	10,430	1,582	865	433	3,040	801	14,540	1,946	1,670	613	2,810	766	2,260	584	520	257	2,860	891	2,980	808
Life scientists	1,965	754	3,985	910	15,625	1,973	77,175	4,801	5,805	988	5,475	988	1,765	667	14,400	1,923	3,805	830	2,940	752	2,715	901	3,135	800	690	295	1,490	591	3,885	963
Physical scientists	2,020	652	8,760	1,153	37,630	2,896	49,975	3,065	5,650	1,281	5,690	1,226	965	450	8,445	1,533	5,050	977	1,750	610	1,730	497	1,670	574	1,350	592	665	446	2,225	632
Social scientists	605	370	665	382	1,600	606	4,845	1,117	73,665	4,353	17,010	1,908	1,270	469	5,630	1,043	5,555	1,279	10,620	1,299	7,855	1,553	5,065	1,037	2,580	605	2,625	783	11,205	1,533
Architects	580	330	870	377	230	209	2,085	524	270	197	1,135	462	0	246	19,755	2,050	1,605	532	825	597	675	318	825	471	3,755	967	445	291	515	289
Health care	17,215	2,208	17,265	2,172	94,535	4,994	379,925	9,046	136,815	4,752	58,810	3,668	34,185	3,047	1,768,705	20,817	95,695	5,671	78,215	3,970	46,440	3,655	43,385	3,259	31,100	2,627	33,445	2,850	95,030	5,355
Managers (non-STEM)2	70,145	4,175	67,560	4,135	49,710	3,323	121,770	5,315	162,680	4,755	234,885	7,218	22,295	2,226	210,185	6,697	763,435	14,921	282,840	7,632	128,705	5,923	93,895	4,838	106,935	5,724	172,155	5,296	142,865	5,810
Business and financial	55,315	3,491	31,430	2,872	28,820	2,760	61,845	3,806	94,175	4,866	163,465	6,056	13,955	1,589	60,045	3,543	1,077,760	16,375	93,495	3,769	85,315	4,629	55,615	3,872	58,760	3,838	114,045	5,270	80,710	4,852
Social services	5,520	1,189	3,545	978	8,130	1,408	20,405	2,180	218,880	6,918	104,780	5,180	11,885	1,663	59,520	4,280	65,820	3,324	113,450	4,761	36,645	2,761	42,700	3,156	20,705	2,331	30,355	2,794	258,800	8,662
Legal	5,890	1,244	5,780	918	7,060	1,161	18,005	1,952	41,375	3,429	138,040	5,723	6,525	1,209	10,655	1,701	71,965	4,898	18,765	2,081	59,090	2,938	45,970	3,022	13,680	1,511	26,830	2,696	57,450	4,312
Education	87,230	3,611	37,205	2,616	69,940	4,104	161,670	5,250	206,620	6,367	200,925	7,192	34,430	2,502	195,800	6,695	241,195	6,625	2,138,535	21,522	286,965	8,009	180,570	6,793	185,520	6,317	109,210	5,288	169,430	6,017
Arts and entertainment	10,315	1,482	8,385	1,385	7,300	1,372	21,220	2,208	26,370	2,964	43,135	2,997	4,645	1,155	25,895	2,230	54,535	3,732	42,855	3,319	86,255	4,396	30,420	2,812	206,045	6,199	117,270	5,627	17,725	1,857
Service	21,125	2,487	16,850	2,013	25,835	2,653	76,835	4,350	100,015	5,118	93,250	4,863	16,325	1,889	139,125	6,486	209,390	7,553	166,040	6,669	55,580	3,635	52,920	3,698	80,900	4,634	54,420	3,503	154,850	8,217
Sales	26,765	2,343	25,260	2,777	26,550	2,909	58,150	3,832	80,490	4,796	114,425	6,271	10,320	1,647	67,675	3,694	446,635	10,908	121,520	5,287	74,655	4,545	58,930	4,256	96,295	4,540	118,270	5,394	75,660	4,219
Office support	59,840	3,518	26,710	2,519	40,695	3,664	94,990	4,231	166,140	6,738	180,310	6,446	20,575	2,407	118,795	5,228	717,225	13,219	227,565	7,018	124,745	4,873	112,805	4,969	120,515	5,454	143,780	5,630	173,025	6,686
Agriculture	260	223	390	220	320	234	4,900	998	395	325	305	206	185	149	685	423	1,415	547	1,325	504	240	233	615	497	305	187	125	114	1,120	515
Construction	2,890	808	4,195	1,049	1,635	533	2,650	812	2,550	1,032	2,985	863	400	269	3,265	821	11,085	1,799	4,715	919	2,325	803	2,205	750	5,285	1,035	1,830	685	2,825	874
Production	7,040	1,636	11,525	1,606	8,305	1,345	22,465	2,455	13,095	2,033	16,755	2,088	3,240	1,141	22,265	2,361	64,275	4,672	33,965	2,798	10,210	1,828	12,650	2,079	23,355	2,630	11,015	1,513	20,525	2,224
