S. No.,Country,Gender Inequality Index,Rank
1,Norway,0.053,6
2,Australia,0.12,24
2,Switzerland,0.04,1
4,Germany,0.066,9
5,Denmark,0.041,2
5,Singapore,0.068,11
7,Netherlands,0.044,3
8,Ireland,0.127,26
9,Iceland,0.051,5
10,Canada,0.098,18
10,United States,0.203,43
12,"Hong Kong, China (SAR)",..,..
13,New Zealand,0.158,34
14,Sweden,0.048,4
15,Liechtenstein,..,..
16,United Kingdom,0.131,28
17,Japan,0.116,21
18,Korea (Republic of),0.067,10
19,Israel,0.103,20
20,Luxembourg,0.075,13
21,France,0.102,19
22,Belgium,0.073,12
23,Finland,0.056,8
24,Austria,0.078,14
25,Slovenia,0.053,6
26,Italy,0.085,16
27,Spain,0.081,15
28,Czech Republic,0.129,27
29,Greece,0.119,23
30,Brunei Darussalam,..,..
30,Estonia,0.131,28
32,Andorra,..,..
33,Cyprus,0.116,21
33,Malta,0.217,44
33,Qatar,0.542,127
36,Poland,0.137,30
37,Lithuania,0.121,25
38,Chile,0.322,65
38,Saudi Arabia,0.257,50
40,Slovakia,0.179,39
41,Portugal,0.091,17
42,United Arab Emirates,0.232,46
43,Hungary,0.252,49
44,Latvia,0.191,41
45,Argentina,0.362,77
45,Croatia,0.141,31
47,Bahrain,0.233,48
48,Montenegro,0.156,33
49,Russian Federation,0.271,52
50,Romania,0.339,72
51,Kuwait,0.335,70
52,Belarus,0.144,32
52,Oman,0.281,54
54,Barbados,0.291,59
54,Uruguay,0.284,55
56,Bulgaria,0.223,45
56,Kazakhstan,0.202,42
58,Bahamas,0.362,77
59,Malaysia,0.291,59
60,Palau,..,..
60,Panama,0.457,100
62,Antigua and Barbuda,..,..
63,Seychelles,..,..
64,Mauritius,0.38,82
65,Trinidad and Tobago,0.324,67
66,Costa Rica,0.308,63
66,Serbia,0.185,40
68,Cuba,0.304,62
69,Iran (Islamic Republic of),0.509,118
70,Georgia,0.361,76
71,Turkey,0.328,69
71,Venezuela (Bolivarian Republic of),0.461,101
73,Sri Lanka,0.386,87
74,Saint Kitts and Nevis,..,..
75,Albania,0.267,51
76,Lebanon,0.381,83
77,Mexico,0.345,73
78,Azerbaijan,0.326,68
79,Brazil,0.414,92
79,Grenada,..,..
81,Bosnia and Herzegovina,0.158,34
82,The former Yugoslav Republic of Macedonia,0.16,36
83,Algeria,0.429,94
84,Armenia,0.293,61
84,Ukraine,0.284,55
86,Jordan,0.478,111
87,Peru,0.385,86
87,Thailand,0.366,79
89,Ecuador,0.391,88
90,China,0.164,37
91,Fiji,0.358,75
92,Mongolia,0.278,53
92,Saint Lucia,0.354,74
94,Jamaica,0.422,93
95,Colombia,0.393,89
96,Dominica,..,..
97,Suriname,0.448,99
97,Tunisia,0.289,58
99,Dominican Republic,0.47,107
99,Saint Vincent and the Grenadines,..,..
101,Tonga,0.659,152
102,Libya,0.167,38
103,Belize,0.375,81
104,Samoa,0.439,97
105,Maldives,0.312,64
105,Uzbekistan,0.287,57
107,Moldova (Republic of),0.232,46
108,Botswana,0.435,95
109,Gabon,0.542,127
110,Paraguay,0.464,104
111,Egypt,0.565,135
111,Turkmenistan,..,..
113,Indonesia,0.467,105
114,"Palestine, State of",..,..
115,Viet Nam,0.337,71
116,Philippines,0.436,96
117,El Salvador,0.384,85
118,Bolivia (Plurinational State of),0.446,98
119,South Africa,0.394,90
120,Kyrgyzstan,0.394,90
121,Iraq,0.525,123
122,Cabo Verde,..,..
123,Morocco,0.494,113
124,Nicaragua,0.462,103
125,Guatemala,0.494,113
125,Namibia,0.474,108
127,Guyana,0.508,117
127,Micronesia (Federated States of),..,..
129,Tajikistan,0.322,65
130,Honduras,0.461,101
131,India,0.53,125
132,Bhutan,0.477,110
133,Timor-Leste,..,..
134,Vanuatu,..,..
135,Congo,0.592,141
135,Equatorial Guinea,..,..
137,Kiribati,..,..
138,Lao People's Democratic Republic,0.468,106
139,Bangladesh,0.52,119
139,Ghana,0.547,131
139,Zambia,0.526,124
142,Sao Tome and Principe,0.524,122
143,Cambodia,0.479,112
144,Nepal,0.497,115
145,Myanmar,0.374,80
146,Kenya,0.565,135
147,Pakistan,0.546,130
148,Swaziland,0.566,137
149,Syrian Arab Republic,0.554,133
150,Angola,..,..
151,Tanzania (United Republic of),0.544,129
152,Nigeria,..,..
153,Cameroon,0.568,138
154,Papua New Guinea,0.595,143
154,Zimbabwe,0.54,126
156,Solomon Islands,..,..
157,Mauritania,0.626,147
158,Madagascar,..,..
159,Rwanda,0.383,84
160,Comoros,..,..
160,Lesotho,0.549,132
162,Senegal,0.521,120
163,Haiti,0.593,142
163,Uganda,0.522,121
165,Sudan,0.575,140
166,Togo,0.556,134
167,Benin,0.613,144
168,Yemen,0.767,159
169,Afghanistan,0.667,154
170,Malawi,0.614,145
171,Côte d'Ivoire,0.672,155
172,Djibouti,..,..
173,Gambia,0.641,148
174,Ethiopia,0.499,116
175,Mali,0.689,156
176,Congo (Democratic Republic of the),0.663,153
177,Liberia,0.649,150
178,Guinea-Bissau,..,..
179,Eritrea,..,..
179,Sierra Leone,0.65,151
181,Mozambique,0.574,139
181,South Sudan,..,..
183,Guinea,..,..
184,Burundi,0.474,108
185,Burkina Faso,0.615,146
186,Chad,0.695,157
187,Niger,0.695,157
188,Central African Republic,0.648,149
